Match Day,Date,Rival_Country,GF,GA,GD,Result,Year
1,03-09-1938,Australia,3,5,-2,Lost,1938
2,10-09-1938,Australia,4,4,0,Draw,1938
3,17-09-1938,Australia,4,1,3,Win,1938
4,24-09-1938,Australia,4,5,-1,Lost,1938
5,01-10-1938,Australia,1,3,-2,Lost,1938
6,31-07-1948,France,1,2,-1,Lost,1948
7,04-03-1951,Indonesia,3,0,3,Win,1951
8,07-03-1951,Afghanistan,3,0,3,Win,1951
9,10-03-1951,Iran,1,0,1,Win,1951
10,09-03-1952,Sri Lanka,3,0,3,Win,1952
11,16-03-1952,Burma,4,0,4,Win,1952
12,23-03-1952,Pakistan,0,0,0,Draw,1952
13,15-07-1952,Yugoslavia,1,10,-9,Lost,1952
14,23-10-1953,Pakistan,1,0,1,Win,1953
15,27-10-1953,Sri Lanka,2,0,2,Win,1953
16,31-10-1953,Burma,4,2,2,Win,1953
17,03-05-1954,Japan,3,2,1,Win,1954
18,05-05-1954,Indonesia,0,4,-4,Lost,1954
19,18-12-1954,Sri Lanka,1,1,0,Draw,1954
20,23-12-1954,Burma,2,1,1,Win,1954
21,26-12-1954,Pakistan,3,1,2,Win,1954
22,16-09-1955,Soviet Union,1,11,-10,Lost,1955
23,18-12-1955,Sri Lanka,4,3,1,Win,1955
24,20-10-1955,Burma,5,2,3,Win,1955
25,24-10-1955,Pakistan,2,1,1,Win,1955
26,17-06-1956,China,0,1,-1,Lost,1956
27,01-12-1956,Australia,4,2,2,Win,1956
28,04-12-1956,Yugoslavia,1,4,-3,Lost,1956
29,07-12-1956,Bulgaria,0,3,-3,Lost,1956
30,12-12-1956,Australia,7,1,6,Win,1956
31,26-05-1958,Burma,3,2,1,Win,1958
32,28-05-1958,Indonesia,1,2,-1,Lost,1958
33,30-05-1958,Hong Kong,5,2,3,Win,1958
34,31-05-1958,South Korea,1,3,-2,Lost,1958
35,01-06-1958,Indonesia,1,4,-3,Lost,1958
36,27-08-1959,Afghanistan,5,2,3,Win,1959
37,31-08-1959,Singapore,2,0,2,Win,1959
38,03-09-1959,Hong Kong,2,0,2,Win,1959
39,04-09-1959,Malaya,1,1,0,Draw,1959
40,06-09-1959,South Vietnam,2,2,0,Draw,1959
41,08-09-1959,South Korea,1,1,0,Draw,1959
42,07-12-1959,Pakistan,1,0,1,Win,1959
43,08-12-1959,Israel,1,3,-2,Lost,1959
44,11-12-1959,Iran,3,1,2,Win,1959
45,13-12-1959,Pakistan,0,1,-1,Lost,1959
46,16-12-1959,Israel,2,1,1,Win,1959
47,18-12-1959,Iran,1,2,-1,Lost,1959
48,14-04-1960,Indonesia,4,2,2,Win,1960
49,30-04-1960,Indonesia,2,0,2,Win,1960
50,21-08-1960,Tunisia,2,2,0,Draw,1960
51,26-08-1960,Hungary,1,2,-1,Lost,1960
52,29-08-1960,France,1,1,0,Draw,1960
53,01-09-1960,Peru,1,3,-2,Lost,1960
54,03-08-1961,South Vietnam,1,2,-1,Lost,1961
55,06-08-1961,Japan,1,3,-2,Lost,1961
56,09-08-1961,Malaya,2,1,1,Win,1961
57,26-08-1962,South Korea,0,2,-2,Lost,1962
58,28-08-1962,Thailand,4,1,3,Win,1962
59,29-08-1962,Japan,2,0,2,Win,1962
60,01-09-1962,South Vietnam,3,2,1,Win,1962
61,04-09-1962,South Korea,2,1,1,Win,1962
62,27-11-1963,Sri Lanka,5,3,2,Win,1963
63,07-12-1963,Sri Lanka,7,0,7,Win,1963
64,27-05-1964,South Korea,2,0,2,Win,1964
65,29-05-1964,Israel,0,2,-2,Lost,1964
66,02-06-1964,Hong Kong,3,1,2,Win,1964
67,06-06-1964,Iran,0,3,-3,Lost,1964
68,19-06-1964,Iran,1,3,-2,Lost,1964
69,24-08-1964,Malaya,1,1,0,Draw,1964
70,27-08-1964,Cambodia,4,0,4,Win,1964
71,29-08-1964,Thailand,2,1,1,Win,1964
